probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
3276,20160518,20845,92.249.150.46,2a01:368:600:afff::2,system-v2,v4-v6-works
3284,20160518,12779,212.110.33.252,2001:1418:1:201::fc,system-v2,v4-v6-works
3290,20160518,29422,83.145.221.91,2001:1bc8:100:1f:280:a3ff:fe91:428b,system-v2,v4-v6-works
3308,20160518,48972,95.130.232.5,2a02:b70:0:503:280:a3ff:fe91:389e,system-v2,v4-v6-works
3313,20160518,199087,89.190.3.17,2a03:7c00:feed:cafe::17,system-v2,v4-v6-works
3324,20160518,132797,103.25.229.154,2001:dec:0:7:280:a3ff:fe91:3b01,system-v2,v4-v6-works
3336,20160518,20845,92.249.150.38,2a01:368:2100:afff::2,system-v2,v4-v6-works
3338,20160518,8462,193.227.197.16,2a01:5d0::280:a3ff:fe91:40d3,system-v2,v4-v6-works
3353,20160518,39309,,,system-v2,v4-v6-works
3357,20160518,12502,212.71.198.233,2001:14f8:9:3::1,system-v2,v4-v6-works
3368,20160518,20845,92.249.150.26,2a01:368:1500:afff::2,system-v2,v4-v6-works
3374,20160518,198818,178.132.64.146,2a03:2380:2:c::4,system-v2,v4-v6-works
3377,20160518,41153,91.215.5.130,2001:67c:1288:25::10,system-v2,v4-v6-works
3391,20160518,197745,185.2.0.34,2a00:90c0:400:0:280:a3ff:fe91:45c5,system-v2,v4-v6-works
3400,20160518,16086,,,system-v2,v4-v6-works
3423,20160518,3943,153.16.25.237,2610:d0:111a:1:280:a3ff:fe91:476b,system-v2,v4-v6-works
3430,20160518,3943,153.16.25.25,2610:d0:110d:0:280:a3ff:fe91:4644,system-v2,v4-v6-works
3435,20160518,29551,109.71.31.221,2a01:440:1:1a:280:a3ff:fe91:466c,system-v2,v4-v6-works
3442,20160518,198171,,,system-v2,v4-v6-works
3444,20160518,7018,,,system-v2,v4-v6-works
3455,20160518,50957,5.153.255.238,2a02:24e0:d100:103::2,system-v2,v4-v6-works
3462,20160518,50957,5.153.255.234,2a02:24e0:0:3462::2,system-v2,v4-v6-works
3498,20160518,198171,,,system-v2,v4-v6-works
3499,20160518,12617,91.102.91.21,2a02:9d0:3000:1::21,system-v2,v4-v6-works
3500,20160518,25309,194.116.126.7,2001:7f8:23:78:220:4aff:fee0:20d0,system-v2,v4-v6-works
